Participant,Condition,SCR_Peak_Time,SCR_Amplitude
sub-01,full_bright,167.3,0.026825485375738367
sub-01,full_bright,181.1,0.04424156463763218
sub-01,full_bright,182.2,0.04818397247449724
sub-01,full_bright,190.7,0.07579174746050654
sub-01,full_bright,193.5,0.03451383249144069
sub-01,full_bright,195.8,0.025084179977194587
sub-01,full_bright,198.5,0.04045350697572836
sub-01,full_bright,219.5,0.3125943322682847
sub-01,full_bright,222.2,0.42100557242639436
sub-01,full_bright,234.6,1.7081158183489968
sub-01,full_bright,254.1,0.3648646613926978
sub-01,full_bright,266.7,1.099398237719761
sub-01,full_bright,275.8,0.7937769847670708
sub-01,full_bright,284.4,0.08223037428369295
sub-01,full_bright,286.3,0.18844959582584941
sub-01,full_bright,287.5,0.18611837373898155
sub-01,full_dark,11.0,0.024566256037607204
sub-01,full_dark,12.1,0.026950500674244537
sub-01,full_dark,13.2,0.020925733060906282
sub-01,full_dark,52.7,0.0226906340181543
sub-01,full_dark,67.0,0.025686300125528305
sub-01,full_dark,70.6,0.0918428252228427
sub-01,full_dark,74.5,0.07246923754041568
sub-01,full_dark,87.2,0.2780709361904652
sub-01,full_dark,105.4,0.033332359197045136
sub-01,full_dark,106.9,0.03840230059983085
sub-01,full_dark,108.5,0.04150558286866968
sub-01,full_dark,109.9,0.03209011749228985
sub-01,full_dark,129.5,0.1629904110439817
sub-01,full_dark,132.1,0.24325604517719768
sub-01,full_dark,143.2,1.0028327460611433
sub-01,full_dark,162.8,0.0697265525568298
sub-01,full_dark,165.9,0.02465563269815796
sub-01,full_dark,176.6,0.035487239832102446
sub-01,full_dark,178.1,0.03886085959204877
sub-01,full_dark,179.3,0.0503525903516735
sub-01,full_dark,180.6,0.0360069666580447
sub-01,full_dark,187.5,0.12813471448830605
sub-01,full_dark,191.1,0.16621739465228202
sub-01,full_dark,205.4,0.06987413536946008
sub-01,full_dark,206.8,0.1617264493183157
sub-01,full_dark,209.1,0.1017128373963363
sub-01,full_dark,220.9,0.4284262409799222
sub-02,empty_bright,66.3,0.026699604066416693
sub-02,empty_bright,67.8,0.026254111402812086
sub-02,empty_bright,152.2,0.021811439648796505
sub-02,empty_bright,256.5,0.03141124230592629
sub-02,empty_bright,290.8,0.020093399707474813
sub-02,full_bright,14.9,0.027557453601647186
sub-02,full_bright,26.9,0.023354346852959562
sub-02,full_bright,39.1,0.024932621395445942
sub-02,full_bright,86.9,0.02424924183410626
sub-02,full_bright,89.0,0.02749988639074985
sub-02,full_bright,96.0,0.032094467531926796
sub-02,full_bright,123.6,0.020085407660337395
sub-02,full_bright,143.2,0.12701629876041265
sub-02,full_bright,146.5,0.03878484016394124
sub-02,full_bright,152.9,0.0764458778989483
sub-02,full_bright,156.3,0.02929253069612292
sub-02,full_bright,162.3,0.024495986809076165
sub-02,full_bright,178.3,0.1261078474108821
sub-02,full_bright,191.0,0.03319806748331633
sub-02,full_bright,201.5,0.16527351689866876
sub-02,full_bright,205.1,0.03377893279710209
sub-02,full_bright,277.4,0.023533270161309794
sub-02,full_dark,10.5,0.07503397533741474
sub-02,full_dark,31.9,0.04821857985290512
sub-02,full_dark,33.5,0.05150071006986945
sub-02,full_dark,36.1,0.08200488545688689
sub-02,full_dark,37.2,0.08418473001392357
sub-02,full_dark,41.9,0.20090754461602467
sub-02,full_dark,51.9,0.8943088828128491
sub-02,full_dark,63.4,0.3429131409925841
sub-02,full_dark,72.7,0.5966857280426963
sub-02,full_dark,76.4,0.8572228298600368
sub-02,full_dark,92.7,0.1588987012438592
sub-02,full_dark,183.1,0.034679362990171825
